"plot","Species","Importance Value","time"
"1.3.5","PIPO",133.786760744513,"Pre-fire"
"1.3.6","PIPO",105.738607635194,"Pre-fire"
"1.4.1","PIPO",0,"Pre-fire"
"1.4.2","PIPO",161.285062234465,"Pre-fire"
"1.4.3","PIPO",107.704947792198,"Pre-fire"
"1.4.4","PIPO",106.192602057713,"Pre-fire"
"1.4.5","PIPO",161.37716045148,"Pre-fire"
"1.4.6","PIPO",106.281914503897,"Pre-fire"
"2.1.1","PIPO",0,"Pre-fire"
"2.1.2","PIPO",107.066776788719,"Pre-fire"
"2.1.3","PIPO",0,"Pre-fire"
"2.1.4","PIPO",0,"Pre-fire"
"2.1.5","PIPO",0,"Pre-fire"
"2.1.6","PIPO",0,"Pre-fire"
"2.2.1","PIPO",0,"Pre-fire"
"2.2.2","PIPO",0,"Pre-fire"
"2.2.3","PIPO",0,"Pre-fire"
"2.2.4","PIPO",0,"Pre-fire"
"2.2.5","PIPO",0,"Pre-fire"
"2.2.6","PIPO",180.902165314972,"Pre-fire"
"2.3.1","PIPO",114.724601146192,"Pre-fire"
"2.3.2","PIPO",0,"Pre-fire"
"2.3.3","PIPO",130.714295826144,"Pre-fire"
"2.3.4","PIPO",0,"Pre-fire"
"2.3.5","PIPO",0,"Pre-fire"
"2.3.6","PIPO",118.415170219838,"Pre-fire"
"2.4.1","PIPO",0,"Pre-fire"
"2.4.2","PIPO",0,"Pre-fire"
"2.4.3","PIPO",0,"Pre-fire"
"2.4.4","PIPO",0,"Pre-fire"
"2.4.5","PIPO",105.041931620866,"Pre-fire"
"2.4.6","PIPO",122.346322847229,"Pre-fire"
"3.1.1","PIPO",138.534408390042,"Pre-fire"
"3.1.2","PIPO",0,"Pre-fire"
"3.1.3","PIPO",106.428561593557,"Pre-fire"
"3.1.4","PIPO",0,"Pre-fire"
"3.1.5","PIPO",0,"Pre-fire"
"3.1.6","PIPO",0,"Pre-fire"
"3.2.1","PIPO",105.61063024273,"Pre-fire"
"3.2.2","PIPO",122.81394715125,"Pre-fire"
"3.2.3","PIPO",136.939557892417,"Pre-fire"
"3.2.4","PIPO",178.576102385177,"Pre-fire"
"3.2.5","PIPO",115.147998039751,"Pre-fire"
"3.2.6","PIPO",0,"Pre-fire"
"3.3.2","PIPO",0,"Pre-fire"
"3.3.3","PIPO",0,"Pre-fire"
"3.3.4","PIPO",112.507811910333,"Pre-fire"
"3.3.5","PIPO",121.689195303478,"Pre-fire"
"3.3.6","PIPO",0,"Pre-fire"
"3.4.1","PIPO",111.979559511334,"Pre-fire"
"3.4.2","PIPO",0,"Pre-fire"
"3.4.3","PIPO",133.751301449829,"Pre-fire"
"3.4.4","PIPO",104.888408055414,"Pre-fire"
"3.4.5","PIPO",0,"Pre-fire"
"3.4.6","PIPO",0,"Pre-fire"
"4.1.1","PIPO",0,"Pre-fire"
"4.1.2","PIPO",0,"Pre-fire"
"4.1.3","PIPO",184.016402190366,"Pre-fire"
"4.1.4","PIPO",152.704737993122,"Pre-fire"
"4.1.5","PIPO",155.634397692258,"Pre-fire"
"4.1.6","PIPO",0,"Pre-fire"
"4.2.1","PIPO",180.486948244201,"Pre-fire"
"4.2.2","PIPO",0,"Pre-fire"
"4.2.3","PIPO",145.471074885709,"Pre-fire"
"4.2.4","PIPO",0,"Pre-fire"
"4.2.5","PIPO",0,"Pre-fire"
"4.2.6","PIPO",129.767459997939,"Pre-fire"
"4.3.1","PIPO",0,"Pre-fire"
"4.3.2","PIPO",125.548370995226,"Pre-fire"
"4.3.3","PIPO",0,"Pre-fire"
"4.3.4","PIPO",0,"Pre-fire"
"4.3.5","PIPO",136.169988822377,"Pre-fire"
"4.3.6","PIPO",0,"Pre-fire"
"4.4.1","PIPO",0,"Pre-fire"
"4.4.2","PIPO",0,"Pre-fire"
"4.4.3","PIPO",0,"Pre-fire"
"4.4.4","PIPO",0,"Pre-fire"
"4.4.5","PIPO",144.808706712445,"Pre-fire"
"4.4.6","PIPO",129.231597556309,"Pre-fire"
"1.1.1","PSME",192.570855479657,"Pre-fire"
"1.1.2","PSME",196.174841685142,"Pre-fire"
"1.1.3","PSME",0,"Pre-fire"
"1.1.4","PSME",0,"Pre-fire"
"1.2.1","PSME",179.481765607273,"Pre-fire"
"1.2.2","PSME",152.839938038727,"Pre-fire"
"1.2.3","PSME",121.604961687099,"Pre-fire"
"1.2.4","PSME",0,"Pre-fire"
"1.2.5","PSME",140.117092567873,"Pre-fire"
"1.2.6","PSME",149.892795052851,"Pre-fire"
