"Storrie","Chips","ABCO","CADE","PILA","PIPO","PSME","QUKE","comb"
37,121,-2.687635725473,NA,0.368580249608002,NA,NA,2.31905547586499,158
227,36,-1.404332604215,-0.66853101923499,-0.127443351495998,NA,NA,-4.12615205761301,263
130,272,0,NA,NA,NA,0,0,402
335,175,14.480571460826,-36.228009260313,NA,NA,7.543629559735,14.203808239752,510
148,108,-3.51558329755099,NA,6.04579919888401,-22.787731414085,NA,20.257515512752,256
286,339,23.810962673998,NA,NA,-114.724601146192,-26.7263118967,17.639950368894,625
392,167,-6.088295885663,NA,NA,NA,NA,6.088295885663,559
261,119,-0.0787678991389953,-12.516416659543,NA,9.23349435505202,2.92699055633501,0.434699647295986,380
413,187,-1.57134195937502,NA,33.871370925292,NA,-146.264106915363,13.964077949446,600
555,301,-19.822813747539,NA,NA,NA,NA,19.822813747539,856
513,614,-38.159137348268,NA,NA,-118.415170219838,NA,56.574307568106,1127
572,672,-222.610359459651,NA,NA,NA,NA,122.610359459651,1244
481,719,-204.67400313588,NA,NA,NA,NA,104.67400313588,1200
354,725,-198.279995458417,-143.620053353311,NA,NA,NA,141.900048811728,1079
597,614,-172.086856460069,NA,-128.376687455154,NA,NA,100.463543915222,1211
229,680,-220.388995971538,NA,-118.360289502647,-105.041931620866,NA,143.791217095051,909
338,751,-206.334531815373,-141.115586790616,-112.419860586496,-122.346322847229,NA,182.216302039713,1089
250,53,NA,3.75878133953199,NA,7.787223747246,-15.538493839122,3.992488752344,303
709,88,7.21064958283401,NA,NA,NA,-19.492076252191,3.79001604692499,797
493,-96,-160.904164181789,NA,-106.634309470762,5.95307624754999,NA,61.585397405001,397
728,0,-129.106033397321,NA,NA,NA,66.459841129159,-37.353807731838,728
383,97,-92.614624283728,NA,NA,NA,NA,85.973975852954,480
565,50,-44.38265370479,-105.706035429377,NA,NA,NA,50.088689134167,615
434,182,5.638596667521,-2.84726290798599,1.805142164947,0.729512572906998,NA,-5.32598849738901,616
144,389,-49.047446116105,-25.780105108259,45.83083867646,10.952832883186,NA,18.04387966472,533
144,389,NA,NA,NA,13.199088239782,NA,-13.199088239782,533
404,179,56.888485356128,2.503354044459,NA,-178.576102385177,NA,19.18426298459,583
538,867,-69.380239319899,NA,NA,-4.36829866610701,NA,73.748537986006,1405
547,561,13.037029852954,NA,34.346428275621,NA,-185.826028408326,38.442570279751,1108
576,452,49.52860940861,NA,-172.926666949861,NA,-141.06830163922,64.466359180471,1028
576,452,-188.321369703203,-140.981491870455,NA,NA,-157.202112034397,186.504973608055,1028
628,400,14.090010042488,10.342695748288,NA,4.913815887683,NA,-29.34652167846,1028
783,654,-124.521561576473,NA,NA,76.646075526396,-208.309112654604,56.184598704681,1437
828,556,-41.322751354604,28.909238870129,35.611641051041,NA,-162.756862311999,39.558733745432,1384
591,764,-142.253832298587,NA,-208.587083102243,-111.979559511334,NA,162.820474912163,1355
691,673,NA,NA,-193.596786769387,NA,-128.622216499639,122.219003269026,1364
312,630,-228.322932674124,-113.422019259406,NA,-133.751301449829,NA,175.496253383359,942
861,819,-125.840071837294,NA,-203.269009151654,-104.888408055414,-115.61704254775,149.614531592112,1680
685,694,-179.203192468416,NA,-145.652021008299,NA,NA,124.855213476715,1379
1000,670,-146.943745768533,-111.599816971208,-163.506730399019,NA,-155.727484639018,177.777777777778,1670
1220,-140,NA,NA,-224.486328278463,NA,NA,124.486328278463,1080
731,20,-126.735333487785,NA,-110.15007593894,NA,-153.657216129946,83.800053116987,751
698,-43,-137.651129471947,NA,NA,-184.016402190366,NA,109.840758164897,655
1016,-453,-12.943458192282,NA,-118.007771921495,-152.704737993122,NA,57.821701589542,563
737,0,-182.833125577671,NA,NA,-155.634397692258,NA,138.467523269928,737
883,0,-174.899769048459,NA,NA,NA,NA,74.899769048459,883
802,501,9.119066654644,NA,10.79189804608,-53.499857034975,14.099127480678,19.489764853572,1303
881,-162,-207.071414819678,NA,NA,NA,NA,107.071414819678,719
716,475,-132.858302139233,NA,-112.530533975063,-10.619799319402,NA,47.803744541046,1191
823,590,-176.551409417564,NA,NA,NA,NA,76.551409417564,1413
1064,676,-105.144364474045,NA,-138.893066447046,NA,NA,44.037430921092,1740
793,472,-142.897132190192,-105.979484759982,-41.637006197136,84.993628982226,NA,5.519994165084,1265
1001,605,NA,NA,-220,NA,NA,120,1606
485,819,-162.009870785827,NA,-197.441758218948,-125.548370995226,NA,185,1304
747,640,NA,NA,NA,NA,NA,0,1387
707,442,NA,-113.125760233815,NA,NA,-186.159403543816,99.285163777631,1149
1048,810,NA,-113.663488307969,-241.833189536321,-136.169988822377,NA,191.666666666667,1858
897,706,-6.40543598141599,NA,NA,NA,NA,6.40543598141599,1603
1037,891,NA,NA,-222.31589416079,NA,-123.45923681859,145.77513097938,1928
1097,810,NA,NA,-277.777753274086,NA,NA,177.777753274086,1907
892,726,NA,NA,-195.790024516902,NA,NA,95.790024516902,1618
756,662,-149.79214520249,NA,-213.170817760473,NA,NA,162.962962962963,1418
757,819,-217.834499289838,NA,NA,-144.808706712445,-122.896281442378,185.539487444661,1576
870,597,-220.755929887189,NA,NA,-129.231597556309,NA,149.987527443498,1467
