"rdnbr.plot","ABCO","CADE","PILA","PIPO","PSME","QUKE","ABCO.1","CADE.1","PILA.1","PIPO.1","PSME.1","QUKE.1","ABCO.2","CADE.2","PILA.2","PIPO.2","PSME.2","QUKE.2"
"2.3.1",182.976105723671,0,0,114.724601146192,173.981958278254,128.317334851883,185.904216541223,0,0,108.207256216228,176.488873522671,129.399653719878,206.787068397669,0,0,0,147.255646381554,145.957285220777
"2.3.2",272.318707650856,0,0,0,0,127.681292349144,268.584950388957,0,0,0,0,131.415049611043,266.230411765193,0,0,0,0,133.769588234807
"2.3.3",149.694864327708,136.362304846439,0,130.714295826144,110.742720132696,172.485814867013,150.811175537479,136.856083705544,0,131.580568337555,110.951003316554,169.801169102868,149.616096428569,123.845888186896,0,139.947790181196,113.669710689031,172.920514514309
"2.3.4",134.420481796755,0,166.123147924196,0,146.264106915363,153.192263363686,134.731124932861,0,167.973825103503,0,147.295049963636,150,132.84913983738,0,199.994518849488,0,0,167.156341313132
"2.3.5",220.659605768996,0,0,0,0,179.340394231004,230.491982935061,0,0,0,0,169.508017064939,200.836792021457,0,0,0,0,199.163207978543
"2.3.6",229.02483878642,0,0,118.415170219838,0,152.559990993742,229.02483878642,0,0,118.415170219838,0,152.559990993742,190.865701438152,0,0,0,0,209.134298561848
"2.4.1",222.610359459651,0,0,0,0,177.389640540349,228.268509980604,0,0,0,0,171.731490019396,0,0,0,0,0,300
"2.4.2",204.67400313588,0,0,0,0,195.32599686412,204.67400313588,0,0,0,0,195.32599686412,0,0,0,0,0,300
"2.4.3",198.279995458417,143.620053353311,0,0,0,158.099951188272,198.279995458417,143.620053353311,0,0,0,158.099951188272,0,0,0,0,0,300
"2.4.4",172.086856460069,0,128.376687455154,0,0,199.536456084778,172.086856460069,0,128.376687455154,0,0,199.536456084778,0,0,0,0,0,300
"2.4.5",220.388995971538,0,118.360289502647,105.041931620866,0,156.208782904949,220.388995971538,0,118.360289502647,105.041931620866,0,156.208782904949,0,0,0,0,0,300
"2.4.6",206.334531815373,141.115586790616,112.419860586496,122.346322847229,0,117.783697960287,203.731453248556,142.130934871955,112.628822699721,122.952270013839,0,118.556519165929,0,0,0,0,0,300
"3.1.1",0,143.62546458339,0,138.534408390042,192.296717131665,125.543409894903,0,151.596442322797,0,150.388100039434,172.095405187919,125.92005244985,0,147.384245922922,0,146.321632137288,176.758223292543,129.535898647247
"3.1.2",134.011076175842,0,0,0,123.540166866444,242.448756957714,143.026888318643,0,0,0,0,256.973111681357,141.221725758676,0,0,108.491410622432,104.048090614253,246.238773004639
"3.1.3",160.904164181789,0,106.634309470762,106.428561593557,0,226.032964753892,0,0,0,112.381637841107,0,287.618362158893,0,0,0,112.381637841107,0,287.618362158893
"3.1.4",129.106033397321,0,0,0,124.287365574752,246.606601027927,0,0,0,0,190.747206703911,209.252793296089,0,0,0,0,190.747206703911,209.252793296089
"3.1.5",239.671924948692,0,0,0,0,160.328075051308,146.895919898791,0,0,0,0,253.104080101209,147.057300664964,0,0,106.640648430774,0,246.302050904262
"3.1.6",245.769558114819,105.706035429377,0,0,0,148.524406455804,201.386904410029,0,0,0,0,198.613095589971,201.386904410029,0,0,0,0,198.613095589971
"3.2.1",182.207130283228,137.42516365293,109.916792413918,105.61063024273,0,164.840283407194,187.845726950749,134.577900744944,111.721934578865,106.340142815637,0,159.514294909805,187.845726950749,134.577900744944,111.721934578865,106.340142815637,0,159.514294909805
"3.2.2",172.407821362767,135.466974946211,142.670191850317,122.81394715125,0,126.641064689454,168.935110750196,136.555573011883,143.686009524354,123.432730681967,0,127.390576031601,123.360375246662,109.686869837952,188.501030526777,133.766780034436,0,144.684944354174
"3.2.3",0,0,0,136.939557892417,0,263.060442107583,0,0,0,149.344047863396,0,250.655952136604,0,0,0,150.138646132199,0,249.861353867801
"3.2.4",180.141232105838,106.896759126406,0,178.576102385177,0,134.385906382579,238.271007539287,107.856282009262,0,107.350720460673,0,146.521989990778,237.029717461966,109.400113170865,0,0,0,153.570169367169
"3.2.5",203.708312825578,0,0,115.147998039751,0,181.143689134671,141.559572809461,0,0,120.021794292038,0,238.418632898501,134.328073505679,0,0,110.779699373644,0,254.892227120677
"3.2.6",121.929819562805,0,114.792599746299,0,185.826028408326,177.45155228257,133.610255470004,0,146.66833571357,0,0,219.721408816426,134.966849415759,0,149.13902802192,0,0,215.894122562321
"3.3.2",153.614261642808,0,172.926666949861,0,141.06830163922,132.390769768111,213.285210676515,0,126.714789323485,0,0,160,203.142871051418,0,0,0,0,196.857128948582
"3.3.3",188.321369703203,140.981491870455,0,0,157.202112034397,113.495026391945,174.553529149276,141.586299499705,0,0,155.28874277959,128.571428571429,0,0,0,0,0,300
"3.3.4",129.273605555136,122.426900143407,0,112.507811910333,0,235.791682391124,146.913448538408,135.410862595321,0,118.746619281662,0,198.929069584609,143.363615597624,132.769595891695,0,117.421627798016,0,206.445160712664
"3.3.5",124.521561576473,0,0,121.689195303478,208.309112654604,145.480130465445,126.517117923473,0,0,192.689494294026,0,180.793387782502,0,0,0,198.335270829874,0,201.664729170126
"3.3.6",158.17493287619,116.254798278568,126.954786279985,0,162.756862311999,135.858620253259,148.078140271081,123.480579847165,129.133797202808,0,142.423019447485,156.884463231462,116.852181521586,145.164037148697,162.566427331026,0,0,175.417353998691
"3.4.1",142.253832298587,0,208.587083102243,111.979559511334,0,137.179525087837,217.127573489,0,0,0,0,182.872426511,0,0,0,0,0,300
"3.4.2",0,0,193.596786769387,0,128.622216499639,177.780996730974,0,0,0,0,0,300,0,0,0,0,0,300
"3.4.3",228.322932674124,113.422019259406,0,133.751301449829,0,124.503746616641,180.367655144839,122.406698877863,0,153.907646970205,0,143.317999007093,0,0,0,0,0,300
"3.4.4",125.840071837294,0,203.269009151654,104.888408055414,115.61704254775,150.385468407888,124.477119187117,0,0,108.612652896217,194.02478434098,172.885443575687,0,0,0,0,0,300
"3.4.5",179.203192468416,0,145.652021008299,0,0,175.144786523285,119.994465773571,0,168.908040449716,0,0,211.097493776713,0,0,0,0,0,300
"3.4.6",146.943745768533,111.599816971208,163.506730399019,0,155.727484639018,122.222222222222,159.52840734245,0,0,0,195.162619930271,145.308972727279,0,0,0,0,0,300
"4.1.1",0,0,224.486328278463,0,0,175.513671721537,0,0,0,0,0,300,0,0,0,0,0,300
"4.1.2",126.735333487785,0,110.15007593894,0,153.657216129946,209.457374443329,0,0,0,0,0,300,0,0,0,106.742572439684,0,293.257427560316
"4.1.3",137.651129471947,0,0,184.016402190366,0,178.332468337687,0,0,0,0,0,300,0,0,104.027176695796,0,107.79959680162,288.173226502584
"4.1.4",119.964734788027,0,118.007771921495,152.704737993122,0,209.322755297356,0,0,0,0,0,300,107.021276595745,0,0,0,125.834266517357,267.144456886898
"4.1.5",182.833125577671,0,0,155.634397692258,0,161.532476730072,0,0,0,0,0,300,0,0,0,0,0,300
"4.1.6",174.899769048459,0,0,0,0,225.100230951541,0,0,0,0,0,300,0,0,0,0,0,300
"4.2.1",113.362866937721,0,115.113336327287,180.486948244201,122.394632101944,168.642216388847,115.058933461898,0,117.209358004363,156.028866279703,124.797175453748,186.905666800288,122.481933592365,0,125.905234373367,126.987091209226,136.493759582622,188.131981242419
"4.2.2",207.071414819678,0,0,0,0,192.928585180322,0,0,0,0,0,300,0,0,0,0,0,300
"4.2.3",132.858302139233,0,112.530533975063,145.471074885709,0,209.140088999995,0,0,0,217.647058823529,0,182.352941176471,0,108.204890892652,0,134.851275566307,0,256.943833541041
"4.2.4",176.551409417564,0,0,0,0,223.448590582436,0,0,0,0,0,300,0,0,0,0,0,300
"4.2.5",105.144364474045,0,138.893066447046,0,0,255.962569078908,0,0,0,0,0,300,0,0,0,0,0,300
