"plot","Spp","Condition","ba","tph","QMD","SDI"
"2.4.3","ABCO","Post-Chips Fire",0,0,0,0
"2.4.4","ABCO","Post-Chips Fire",0,0,0,0
"2.4.5","ABCO","Post-Chips Fire",0,0,0,0
"2.4.6","ABCO","Post-Chips Fire",0,0,0,0
"3.1.1","ABCO","Post-Chips Fire",0,0,0,0
"3.1.2","ABCO","Post-Chips Fire",2.157382760148,66.66,20.2995073831854,1.50550885538503
"3.1.3","ABCO","Post-Chips Fire",0,0,0,0
"3.1.4","ABCO","Post-Chips Fire",0,0,0,0
"3.1.5","ABCO","Post-Chips Fire",8.4295532937,22.22,69.5,42.4064636037946
"3.1.6","ABCO","Post-Chips Fire",17.323161763908,44.44,70.450017743078,89.0672866456481
"3.2.1","ABCO","Post-Chips Fire",21.528907213968,222.2,35.1231547558018,36.2194178790993
"3.2.2","ABCO","Post-Chips Fire",2.378197703112,44.44,26.103064954139,2.48473286406228
"3.2.3","ABCO","Post-Chips Fire",0,0,0,0
"3.2.4","ABCO","Post-Chips Fire",42.818134318344,177.76,55.3798022748366,149.605866321278
"3.2.5","ABCO","Post-Chips Fire",6.622109776128,22.22,61.6,27.4482906436464
"3.2.6","ABCO","Post-Chips Fire",7.740756566928,22.22,66.6,36.3664938880043
"3.3.2","ABCO","Post-Chips Fire",9.5564895888,22.22,74,53.1688400863746
"3.3.3","ABCO","Post-Chips Fire",0,0,0,0
"3.3.4","ABCO","Post-Chips Fire",8.996712452112,22.22,71.8,47.6875991051431
"3.3.5","ABCO","Post-Chips Fire",0,0,0,0
"3.3.6","ABCO","Post-Chips Fire",2.174624929092,22.22,35.3,3.68811665473952
"3.4.1","ABCO","Post-Chips Fire",0,0,0,0
"3.4.2","ABCO","Post-Chips Fire",0,0,0,0
"3.4.3","ABCO","Post-Chips Fire",0,0,0,0
"3.4.4","ABCO","Post-Chips Fire",0,0,0,0
"3.4.5","ABCO","Post-Chips Fire",0,0,0,0
"3.4.6","ABCO","Post-Chips Fire",0,0,0,0
